test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g115_f0.4_s60,115,0.4,60,search,q1/images/DungeonHunter_serial_g115_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.4_s60_search.png,44544e480907ddacce708b541ecbe2ff,44544e480907ddacce708b541ecbe2ff,True,,,,,,,
g115_f0.4_s60,115,0.4,60,path,q1/images/DungeonHunter_serial_g115_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g115_f0.4_s60_path.png,6add4f0659d5121d8df3ee447bea28ca,6add4f0659d5121d8df3ee447bea28ca,True,,,,,,,
g135_f0.1_s3,135,0.1,3,search,q1/images/DungeonHunter_serial_g135_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g135_f0.1_s3_search.png,d00909dfeb8b872cf49fc6880dc17c4f,d00909dfeb8b872cf49fc6880dc17c4f,True,,,,,,,
g135_f0.1_s3,135,0.1,3,path,q1/images/DungeonHunter_serial_g135_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g135_f0.1_s3_path.png,b3c18f492dea7154e31a450df5e1e1d2,b3c18f492dea7154e31a450df5e1e1d2,True,,,,,,,
g135_f0.1_s60,135,0.1,60,search,q1/images/DungeonHunter_serial_g135_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g135_f0.1_s60_search.png,379d9c995138cc7d46e98e0a8c42f269,379d9c995138cc7d46e98e0a8c42f269,True,,,,,,,
g135_f0.1_s60,135,0.1,60,path,q1/images/DungeonHunter_serial_g135_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g135_f0.1_s60_path.png,e4c5645344fd07ba20f6c5a9631d1c91,e4c5645344fd07ba20f6c5a9631d1c91,True,,,,,,,
g135_f0.4_s3,135,0.4,3,search,q1/images/DungeonHunter_serial_g135_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g135_f0.4_s3_search.png,a6078642221b7f8cafa9e0f59ecf186e,a6078642221b7f8cafa9e0f59ecf186e,True,,,,,,,
g135_f0.4_s3,135,0.4,3,path,q1/images/DungeonHunter_serial_g135_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g135_f0.4_s3_path.png,7d6e4a9d5dd3b35b735bf6bdf6660f48,7d6e4a9d5dd3b35b735bf6bdf6660f48,True,,,,,,,
g135_f0.4_s60,135,0.4,60,search,q1/images/DungeonHunter_serial_g135_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g135_f0.4_s60_search.png,6055c6230919298790303157fa7e2865,6055c6230919298790303157fa7e2865,True,,,,,,,
g135_f0.4_s60,135,0.4,60,path,q1/images/DungeonHunter_serial_g135_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g135_f0.4_s60_path.png,2f14dbdcfa23936b9a97d7534887d6f6,2f14dbdcfa23936b9a97d7534887d6f6,True,,,,,,,
g150_f0.1_s3,150,0.1,3,search,q1/images/DungeonHunter_serial_g150_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g150_f0.1_s3_search.png,134ba50e97a15f562d0ccb04fc7603d7,134ba50e97a15f562d0ccb04fc7603d7,True,,,,,,,
g150_f0.1_s3,150,0.1,3,path,q1/images/DungeonHunter_serial_g150_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g150_f0.1_s3_path.png,311fc775d6e41c1b1a2ab4d1e2b8835b,311fc775d6e41c1b1a2ab4d1e2b8835b,True,,,,,,,
g150_f0.1_s60,150,0.1,60,search,q1/images/DungeonHunter_serial_g150_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g150_f0.1_s60_search.png,af3c844c65c0d1c2b5ab814dff32efed,af3c844c65c0d1c2b5ab814dff32efed,True,,,,,,,
g150_f0.1_s60,150,0.1,60,path,q1/images/DungeonHunter_serial_g150_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g150_f0.1_s60_path.png,31d43e737fdd20e3c335275543d56b25,31d43e737fdd20e3c335275543d56b25,True,,,,,,,
g150_f0.4_s3,150,0.4,3,search,q1/images/DungeonHunter_serial_g150_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g150_f0.4_s3_search.png,da2cfffef52d0c5b91e04935af85ff3e,da2cfffef52d0c5b91e04935af85ff3e,True,,,,,,,
g150_f0.4_s3,150,0.4,3,path,q1/images/DungeonHunter_serial_g150_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g150_f0.4_s3_path.png,f7b4485f5dde09037d6c5b160a3654bb,f7b4485f5dde09037d6c5b160a3654bb,True,,,,,,,
g150_f0.4_s60,150,0.4,60,search,q1/images/DungeonHunter_serial_g150_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g150_f0.4_s60_search.png,b6306b6e5e3e94e311a0046ce3833eca,b6306b6e5e3e94e311a0046ce3833eca,True,,,,,,,
g150_f0.4_s60,150,0.4,60,path,q1/images/DungeonHunter_serial_g150_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g150_f0.4_s60_path.png,f452b1572615e76f00bc4951210aad96,f452b1572615e76f00bc4951210aad96,True,,,,,,,
g185_f0.1_s3,185,0.1,3,search,q1/images/DungeonHunter_serial_g185_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g185_f0.1_s3_search.png,a4aa6765a9b284758f802adaaae17c0b,a4aa6765a9b284758f802adaaae17c0b,True,,,,,,,
g185_f0.1_s3,185,0.1,3,path,q1/images/DungeonHunter_serial_g185_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g185_f0.1_s3_path.png,496e496f35ea8a642ad2d842ff10b79e,496e496f35ea8a642ad2d842ff10b79e,True,,,,,,,
g185_f0.1_s60,185,0.1,60,search,q1/images/DungeonHunter_serial_g185_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g185_f0.1_s60_search.png,61a578bef18cd6cd40efd060738614a9,61a578bef18cd6cd40efd060738614a9,True,,,,,,,
g185_f0.1_s60,185,0.1,60,path,q1/images/DungeonHunter_serial_g185_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g185_f0.1_s60_path.png,d1619ef86171c7a6cb7076629442953d,d1619ef86171c7a6cb7076629442953d,True,,,,,,,
g185_f0.4_s3,185,0.4,3,search,q1/images/DungeonHunter_serial_g185_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g185_f0.4_s3_search.png,b9c370b50907c32ef3f0291b522be941,b9c370b50907c32ef3f0291b522be941,True,,,,,,,
g185_f0.4_s3,185,0.4,3,path,q1/images/DungeonHunter_serial_g185_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g185_f0.4_s3_path.png,72e50eec48f60c3ca2bb0f64a215ece7,72e50eec48f60c3ca2bb0f64a215ece7,True,,,,,,,
g185_f0.4_s60,185,0.4,60,search,q1/images/DungeonHunter_serial_g185_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g185_f0.4_s60_search.png,8e2772329efabe3e12f1ff9106833deb,8e2772329efabe3e12f1ff9106833deb,True,,,,,,,
g185_f0.4_s60,185,0.4,60,path,q1/images/DungeonHunter_serial_g185_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g185_f0.4_s60_path.png,01366f19a532544926683f46cdb3b188,01366f19a532544926683f46cdb3b188,True,,,,,,,
g200_f0.1_s3,200,0.1,3,search,q1/images/DungeonHunter_serial_g200_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g200_f0.1_s3_search.png,aef3bb30d90e17f29db6fc82aac5f47d,aef3bb30d90e17f29db6fc82aac5f47d,True,,,,,,,
g200_f0.1_s3,200,0.1,3,path,q1/images/DungeonHunter_serial_g200_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g200_f0.1_s3_path.png,8852d5bc1132f4b5e582a235833ef918,8852d5bc1132f4b5e582a235833ef918,True,,,,,,,
g200_f0.1_s60,200,0.1,60,search,q1/images/DungeonHunter_serial_g200_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g200_f0.1_s60_search.png,0b597950c08b4f823eaaaf939219bbf5,0b597950c08b4f823eaaaf939219bbf5,True,,,,,,,
g200_f0.1_s60,200,0.1,60,path,q1/images/DungeonHunter_serial_g200_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g200_f0.1_s60_path.png,c85e1c0e80780bdb4acd0e89aab93f59,c85e1c0e80780bdb4acd0e89aab93f59,True,,,,,,,
